"Request Id","Report Type","Request Status","Enterprise","Category","Sub Category","Severity","Average Response","Average Handling"
"1","Request","Closed","TG Arla","Finance","Invoicing","High","0 Days 0 Hours","0 Days 0 Hours"
"2","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","High","0 Days -3 Hours","0 Days -3 Hours"
"3","Request","Closed","TG Arla","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 15 Hours","1 Days 15 Hours"
"4","Request","Closed","BASF","Trade Operations","Request for plate number","High","0 Days -4 Hours","0 Days -4 Hours"
"1003","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","High","1 Days 13 Hours","1 Days 13 Hours"
"1004","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"1008","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","1 Days 23 Hours","1 Days 23 Hours"
"1021","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"1022","Request","Closed","Raffle Oil","Trade Operations","Request for plate number","Urgent","2 Days 16 Hours","2 Days 16 Hours"
"1023","Request","Closed","Raffle Oil","Trade Operations","Request for plate number","Urgent","2 Days 16 Hours","2 Days 16 Hours"
"1025","Request","Closed","Insignia","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"1026","Request","Closed","Insignia","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"1027","Request","Closed","Insignia","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"1032","Request","Closed","CNC LFTZ Enterprise","Trade Operations","New vehicle registration","Urgent","0 Days 3 Hours","0 Days 3 Hours"
"2029","Request","Closed","Raffle Oil","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"2032","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"2033","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"2034","Request","Closed","China Habour","Civil Works","Approval for building permit","High","1 Days 10 Hours","1 Days 10 Hours"
"2035","Request","Closed","China Habour","Trade Operations","Request for service permit","High","0 Days 9 Hours","0 Days 9 Hours"
"3036","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","0 Days 2 Hours","0 Days 2 Hours"
"4036","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4037","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4038","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","High","0 Days 1 Hours","0 Days 1 Hours"
"4041","Request","Closed","China Habour","Trade Operations","Request for plate number","High","3 Days 11 Hours","3 Days 11 Hours"
"4043","Request","Closed","Insignia","Trade Operations","Renewal of operating licenese","High","0 Days 1 Hours","0 Days 1 Hours"
"4044","Request","Closed","Insignia","Trade Operations","Renewal of operating licenese","High","0 Days 1 Hours","0 Days 1 Hours"
"4045","Request","Closed","Kellogg's","Immigration","Application of STR","High","0 Days 1 Hours","0 Days 1 Hours"
"4046","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","Medium","2 Days 23 Hours","2 Days 23 Hours"
"4047","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4048","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4049","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4050","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4051","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4052","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4053","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4054","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4055","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4056","Request","Closed","Kellogg's","Immigration","Application of STR","Urgent","0 Days 2 Hours","0 Days 2 Hours"
"4057","Request","Closed","Lekki Port","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4059","Request","Closed","TG Arla","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4060","Request","Closed","TG Arla","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"4061","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4062","Request","Closed","China Habour","Civil Works","Approval for building permit","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"4063","Request","Closed","Lekki Port","Trade Operations","New vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"4064","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","Medium","0 Days 3 Hours","0 Days 3 Hours"
"4066","Request","Closed","Raffle Oil","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"4069","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"4077","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5080","Request","Closed","China Habour","Trade Operations","Request for service permit","High","1 Days 18 Hours","1 Days 18 Hours"
"5081","Request","Closed","Insignia","Trade Operations","Renewal of operating licenese","High","0 Days 1 Hours","0 Days 1 Hours"
"5084","Request","Closed","Raffle Oil","Immigration","Application of STR","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5085","Request","Closed","Raffle Oil","Immigration","Application of STR","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5087","Request","Closed","China Habour","Trade Operations","Request for plate number","High","1 Days 17 Hours","1 Days 17 Hours"
"5088","Request","Closed","China Habour","Trade Operations","Request for plate number","High","1 Days 17 Hours","1 Days 17 Hours"
"5089","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5090","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5093","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5095","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5097","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5098","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","2 Days 16 Hours","2 Days 16 Hours"
"5099","Request","Closed","Insignia","Trade Operations","New vehicle registration","Urgent","1 Days 16 Hours","1 Days 16 Hours"
"5100","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5104","Request","Closed","Lekki Port","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5105","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","High","1 Days 21 Hours","1 Days 21 Hours"
"5106","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","High","1 Days 21 Hours","1 Days 21 Hours"
"5107","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","2 Days 0 Hours","2 Days 0 Hours"
"5113","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5123","Request","Closed","TG Arla","Trade Operations","Renewal of vehicle registration","High","2 Days 4 Hours","2 Days 4 Hours"
"5124","Request","Closed","SBS LFTZ","Trade Operations","New vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5126","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5127","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5128","Request","Closed","Kellogg's","Trade Operations","Renewal of operating licenese","High","1 Days 13 Hours","1 Days 13 Hours"
"5129","Request","Closed","TG Arla","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5130","Request","Closed","Raffle Oil","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5131","Request","Closed","Raffle Oil","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 19 Hours","1 Days 19 Hours"
"5132","Request","Closed","Kellogg's","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5133","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","6 Days 18 Hours","6 Days 18 Hours"
"5134","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","6 Days 18 Hours","6 Days 18 Hours"
"5135","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","6 Days 18 Hours","6 Days 18 Hours"
"5136","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","6 Days 18 Hours","6 Days 18 Hours"
"5137","Request","Closed","Insignia","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5138","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5139","Request","Work In Progress","Raffle Oil","IT","Truck Park Portal","Urgent","","0 Days 0 Hours"
"5140","Request","Closed","CNC LFTZ Enterprise","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5141","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","High","0 Days 1 Hours","0 Days 1 Hours"
"5142","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","High","0 Days 0 Hours","0 Days 0 Hours"
"5147","Request","Closed","Lekki Port","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5148","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","High","1 Days 16 Hours","1 Days 16 Hours"
"5149","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","High","0 Days 1 Hours","0 Days 1 Hours"
"5150","Request","Closed","CNC LFTZ Enterprise","Trade Operations","New vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5151","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","2 Days 16 Hours","2 Days 16 Hours"
"5152","Request","Closed","TG Arla","Trade Operations","Request for plate number","High","1 Days 17 Hours","1 Days 17 Hours"
"5153","Request","Closed","Insignia","Trade Operations","Renewal of operating licenese","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5154","Request","Closed","Kellogg's","Trade Operations","Request for plate number","High","1 Days 19 Hours","1 Days 19 Hours"
"5155","Request","Closed","Kellogg's","Trade Operations","Request for Nafdac Permit","Urgent","1 Days 1 Hours","1 Days 1 Hours"
"5156","Request","Closed","Lekki Port","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5157","Request","Closed","Insignia","Trade Operations","New vehicle registration","Urgent","1 Days 15 Hours","1 Days 15 Hours"
"5158","Request","Closed","Kellogg's","Trade Operations","Renewal of vehicle registration","High","0 Days 1 Hours","0 Days 1 Hours"
"5159","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 13 Hours","1 Days 13 Hours"
"5160","Request","Closed","Insignia","Trade Operations","New vehicle registration","Urgent","1 Days 21 Hours","1 Days 21 Hours"
"5161","Request","Closed","Raffle Oil","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5162","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","1 Days 18 Hours","1 Days 18 Hours"
"5163","Request","Closed","Raffle Oil","Trade Operations","New vehicle registration","Urgent","1 Days 23 Hours","1 Days 23 Hours"
"5164","Request","Closed","CT LFTZ","Trade Operations","Request for plate number","Urgent","1 Days 21 Hours","1 Days 21 Hours"
"5165","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","0 Days 0 Hours","0 Days 0 Hours"
"5166","Request","Closed","SBS LFTZ","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5167","Request","Reopened","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","","0 Days 1 Hours"
"5168","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5169","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","0 Days 2 Hours","0 Days 2 Hours"
"5170","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","Medium","14 Days 23 Hours","14 Days 23 Hours"
"5171","Request","Closed","Insignia","Trade Operations","New vehicle registration","Urgent","3 Days 22 Hours","3 Days 22 Hours"
"5172","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5173","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5174","Request","Closed","Insignia","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 20 Hours","1 Days 20 Hours"
"5175","Request","Closed","Insignia","Trade Operations","Request for plate number","Urgent","0 Days 1 Hours","0 Days 1 Hours"
"5176","Request","Closed","Raffle Oil","Trade Operations","Request for Nafdac Permit","Urgent","0 Days 0 Hours","0 Days 0 Hours"
